PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20171001;00PZ;02;Herman Broerenschool;2612SP;DELFT;503;Delft;Zuid-Holland;So;Algemeen bijzonder;38209;3901,70588235294;51
20171001;00PZ;03;Herman Broerenschool;2681JC;MONSTER;1783;Westland;Zuid-Holland;Vso;Algemeen bijzonder;38209;6956,38095238095;21
20171001;00RK;00;De Stroom;3317NH;DORDRECHT;505;Dordrecht;Zuid-Holland;Vso;Algemeen bijzonder;41417;3446,07246376812;69
20171001;00RL;00;Antoniusschool;1901ME;CASTRICUM;383;Castricum;Noord-Holland;So;Samenwerking PC, RK;41008;8189,55319148936;47
20171001;00RL;02;St. Antonius;1784NZ;DEN HELDER;400;Den Helder;Noord-Holland;So;Samenwerking PC, RK;41008;5173,07142857143;14
20171001;00RL;05;St. Antonius;1624CH;HOORN NH;405;Hoorn;Noord-Holland;So;Samenwerking PC, RK;41008;5846;8
20171001;00RL;10;Antoniusschool;1945NC;BEVERWIJK;375;Beverwijk;Noord-Holland;So;Samenwerking PC, RK;41008;2204,08571428571;70
20171001;00RL;11;Antoniusschool;1742AB;SCHAGEN;441;Schagen;Noord-Holland;So;Samenwerking PC, RK;41008;11548,2988505747;87
20171001;00RL;12;Antoniusschool;1701BA;HEERHUGOWAARD;398;Heerhugowaard;Noord-Holland;So;Samenwerking PC, RK;41008;4869,22352941176;85
20171001;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;453;Velsen;Noord-Holland;So;Samenwerking PC, RK;41008;2464,73170731707;41
20171001;00RL;14;Antoniusschool;1784MC;DEN HELDER;400;Den Helder;Noord-Holland;So;Samenwerking PC, RK;41008;4341,86666666667;45
20171001;00RL;16;Antoniusschool;2037RS;HAARLEM;392;Haarlem;Noord-Holland;So;Samenwerking PC, RK;41008;2631,22857142857;35
20171001;00RL;17;Antoniusschool;2014AZ;HAARLEM;392;Haarlem;Noord-Holland;So;Samenwerking PC, RK;41008;3131,55;40
20171001;00RS;00;Talryk;9201HJ;DRACHTEN;90;Smallingerland;Friesland;Vso;Algemeen bijzonder;42665;8269,40845070423;213
20171001;00RT;00;De Sonnewijser;5348RD;OSS;828;Oss;Noord-Brabant;So;Algemeen bijzonder;42572;3249,14545454545;55
20171001;00RT;00;De Sonnewijser;5348RD;OSS;828;Oss;Noord-Brabant;Vso;Algemeen bijzonder;42572;10611,1242236025;161
20171001;00RT;01;De Sonnewijser;4001XM;TIEL;281;Tiel;Gelderland;Vso;Algemeen bijzonder;42572;6545,91208791209;91
20171001;00RT;03;De Sonnewijser;5402EK;UDEN;856;Uden;Noord-Brabant;So;Algemeen bijzonder;42572;5831,67816091954;87
20171001;00RU;00;SSBO De Wissel;1623MA;HOORN NH;405;Hoorn;Noord-Holland;Sbo;Algemeen bijzonder;41470;5184,02714932127;222
20171001;00RX;00;SBO Arcadia;6466HX;KERKRADE;928;Kerkrade;Limburg;Sbo;Rooms-Katholiek;41516;2590,40769230769;130
20171001;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;935;Maastricht;Limburg;So;Rooms-Katholiek;41373;4582,2;91
20171001;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;935;Maastricht;Limburg;Vso;Rooms-Katholiek;41373;7757,67857142857;169
20171001;00SI;00;OZC Orion;2353GA;LEIDERDORP;547;Leiderdorp;Zuid-Holland;So;Openbaar;42504;6763,78125;64
20171001;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;402;Hilversum;Noord-Holland;So;Algemeen bijzonder;41290;6683,6779661017;59
20171001;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;402;Hilversum;Noord-Holland;Vso;Algemeen bijzonder;41290;7127,43548387097;124
20171001;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;1586;Oost Gelre;Gelderland;So;Algemeen bijzonder;40631;9615,54054054054;37
20171001;00SQ;00;SSBO Focus;5801AP;VENRAY;984;Venray;Limburg;Sbo;Rooms-Katholiek;44397;1757,16326530612;98
20171001;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;114;Emmen;Drenthe;So;Openbaar;10249;8039,8;55
20171001;00SU;00;Opb. School v. ZMLK Emmen;7812GE;EMMEN;114;Emmen;Drenthe;Vso;Openbaar;10249;9182,64646464646;99
20171001;00TN;00;SSBO Op de Tump;6097AH;HEEL;1641;Maasgouw;Limburg;Sbo;Algemeen bijzonder;23961;7530,80434782609;92
20171001;00TO;00;Talita Koemi School;6532CL;NIJMEGEN;268;Nijmegen;Gelderland;So;Rooms-Katholiek;41531;5162,85507246377;69
20171001;00TO;00;Talita Koemi School;6532CL;NIJMEGEN;268;Nijmegen;Gelderland;Vso;Rooms-Katholiek;41531;5522,46017699115;113
20171001;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;865;Vught;Noord-Brabant;Sbo;Algemeen bijzonder;41619;3979,5;32
20171001;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;642;Zwijndrecht;Zuid-Holland;Sbo;Algemeen bijzonder;41417;1778,21604938272;162
20171001;00UI;00;SSBO St Michael;3814RV;AMERSFOORT;307;Amersfoort;Utrecht;Sbo;Rooms-Katholiek;71488;3228,54135338346;133
20171001;00UN;00;Tijstroom;1503TS;ZAANDAM;479;Zaanstad;Noord-Holland;Sbo;Interconfessioneel;41251;2880,47311827957;93
20171001;00UT;00;BLO School Lataste;6085AT;HORN;1640;Leudal;Limburg;So;Rooms-Katholiek;41008;8298,2890625;128
20171001;00UY;00;SBO Beatrix de Burcht;4205NK;GORINCHEM;512;Gorinchem;Zuid-Holland;Sbo;Protestants-Christelijk;41396;6483,33098591549;142
20171001;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;777;Etten-Leur;Noord-Brabant;Sbo;Rooms-Katholiek;55303;4475,22807017544;114
20171001;00VV;00;Prof Fritz Redlschool;3584CX;UTRECHT;344;Utrecht;Utrecht;So;Algemeen bijzonder;48856;17602,3333333333;33
20171001;00VV;00;Prof Fritz Redlschool;3584CX;UTRECHT;344;Utrecht;Utrecht;Vso;Algemeen bijzonder;48856;8492,1;30
20171001;00VW;00;De Kameleon;3351ED;PAPENDRECHT;590;Papendrecht;Zuid-Holland;Sbo;Algemeen bijzonder;41417;3360,10791366906;140
20171001;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;1684;Cuijk;Noord-Brabant;Sbo;Openbaar;41443;2415,77777777778;91
20171001;00WO;00;SBO;2566EA;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Sbo;Algemeen bijzonder;95694;4838,38372093023;86
20171001;00YG;00;SBO De Twister;5961BA;HORST;1507;Horst aan de Maas;Limburg;Sbo;Rooms-Katholiek;47920;3939,62962962963;81
20171001;00ZF;00;De Atlas;9402KH;ASSEN;106;Assen;Drenthe;Vso;Algemeen bijzonder;41414;9435,78911564626;147
20171001;00ZF;01;De Atlas;7825SE;EMMEN;114;Emmen;Drenthe;Vso;Algemeen bijzonder;41414;8807,79831932773;121
20171001;00ZF;14;De Atlas;7903AA;HOOGEVEEN;118;Hoogeveen;Drenthe;Vso;Algemeen bijzonder;41414;19735,7738095238;84
20171001;00ZN;00;Het Sloepje - Het Reliëf;7531HX;ENSCHEDE;153;Enschede;Overijssel;So;Algemeen bijzonder;25859;5629,72;150
20171001;00ZR;00;SSBO De Schilderspoort;6903PZ;ZEVENAAR;299;Zevenaar;Gelderland;Sbo;Algemeen bijzonder;40901;4371,17886178862;250
20171001;00ZS;00;SSBO Elim;7462TK;RIJSSEN;1742;Rijssen-Holten;Overijssel;Sbo;Protestants-Christelijk;77196;2320,5;100
20171001;01AC;00;SSBO De Driemaster;8251GP;DRONTEN;303;Dronten;Flevoland;Sbo;Algemeen bijzonder;61778;4323,25882352941;85
20171001;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;614;Westvoorne;Zuid-Holland;So;Algemeen bijzonder;62077;9415,13173652695;168
20171001;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;So;Algemeen bijzonder;62077;2506,79381443299;97
